author_year,study,cluster,group,case,phase,session,outcome,B1,T1,B2,T2,T3,T4,P,M1,G1
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,5,30,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Generalization,6,10,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,10,30,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Baseline 1,15,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Intervention 1,16,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Intervention 1,17,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Intervention 1,18,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Intervention 1,19,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Intervention 1,20,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,1,3,Generalization,22,80,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,1,3,Maintenance,25,80,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,1,3,Maintenance,27,70,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,2,4,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Baseline 1,2,10,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Baseline 1,3,20,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Generalization,6,0,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,2,4,Intervention 1,7,60,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Intervention 1,8,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Intervention 1,9,60,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Intervention 1,10,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Intervention 1,11,80,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,4,Maintenance,16,90,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,2,4,Generalization,22,80,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,2,2,4,Maintenance,23,80,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,2,2,5,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,5,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,2,2,5,Baseline 1,6,0,1,0,0,0,0,0,0,0,0
